id_article,author,year
journals/apjor/ChoiP15a,Myoung-Ju Park,2015
journals/apjor/BobdeT20,Sudhir M. Bobde,2020
journals/apjor/BobdeT20,Makoto Tanaka,2020
journals/apjor/Avinadav16,Tal Avinadav,2016
journals/apjor/ZhaoT15,Chuanli Zhao,2015
journals/apjor/ZhaoT15,Hengyong Tang,2015
journals/apjor/Murakami18,Keisuke Murakami,2018
journals/apjor/WangHL15,Xuyin Wang,2015
journals/apjor/WangHL15,Xiangpei Hu,2015
journals/apjor/WangHL15,Weiguo Liu,2015
journals/apjor/QiuCY18,Qijun Qiu,2018
journals/apjor/QiuCY18,Ying-Ju Chen,2018
journals/apjor/QiuCY18,Benjamin P.-C. Yen,2018
journals/apjor/UllahHJ20,Azmat Ullah,2020
journals/apjor/UllahHJ20,Wenpo Huang,2020
journals/apjor/UllahHJ20,Wei Jiang,2020
journals/apjor/QinRX17,Juanjuan Qin,2017
journals/apjor/QinRX17,Liguo Ren,2017
journals/apjor/QinRX17,Liangjie Xia,2017
journals/apjor/ZhaoT16,Chuanli Zhao,2016
journals/apjor/ZhaoT16,Hengyong Tang,2016
journals/apjor/XuDS15,Genjiu Xu,2015
journals/apjor/XuDS15,Han Dai,2015
journals/apjor/XuDS15,Haobin Shi,2015
journals/apjor/Mondal18,Sakib A. Mondal,2018
journals/apjor/ZhangZ20,Tianyu Zhang,2020
journals/apjor/ZhangZ20,Liwei Zhang,2020
journals/apjor/MaJ16,Weimin Ma,2016
journals/apjor/MaJ16,Xiaodong Ji,2016
journals/apjor/SunYSL19,Zhuo Sun,2019
journals/apjor/SunYSL19,Ni Yan,2019
journals/apjor/SunYSL19,Yining Sun,2019
journals/apjor/SunYSL19,Haobin Li,2019
journals/apjor/LanLN17,Yanfei Lan,2017
journals/apjor/LanLN17,Zhibing Liu,2017
journals/apjor/LanLN17,Baozhuang Niu,2017
journals/apjor/YangXJWZ19,Ruiqi Yang,2019
journals/apjor/YangXJWZ19,Dachuan Xu,2019
journals/apjor/YangXJWZ19,Yanjun Jiang,2019
journals/apjor/YangXJWZ19,Yishui Wang,2019
journals/apjor/YangXJWZ19,Dongmei Zhang,2019
journals/apjor/FangC17,Jian-Wen Fang,2017
